bandwidth,centrality,local_time,Instance,Edges,Nodes,Global Time (s)
1658,Harmonic Centrality,0.010498046875,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1427,Harmonic Centrality,0.010445594787597656,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1702,Harmonic Centrality,0.01065206527709961,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1601,Harmonic Centrality,0.010342597961425781,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1719,Harmonic Centrality,0.010479927062988281,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1749,Harmonic Centrality,0.01050710678100586,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1702,Harmonic Centrality,0.010346412658691406,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1648,Harmonic Centrality,0.2939794063568115,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1644,Harmonic Centrality,0.010810136795043945,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1670,Harmonic Centrality,0.011124610900878906,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1700,Closeness,0.01304483413696289,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1523,Closeness,0.011072397232055664,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1666,Closeness,0.010747909545898438,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1703,Closeness,0.010545969009399414,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1626,Closeness,0.01279306411743164,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1674,Closeness,0.010682344436645508,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1734,Closeness,0.010806083679199219,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1421,Closeness,0.01064157485961914,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1681,Closeness,0.010922431945800781,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1692,Closeness,0.010630369186401367,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1691,Closeness,0.0116424560546875,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1695,Closeness,0.011983871459960938,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1694,Closeness,0.011317253112792969,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1722,Closeness,0.01085209846496582,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1592,Closeness,0.010767698287963867,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1661,PageRank,0.013792037963867188,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1735,PageRank,0.011290311813354492,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1948,PageRank,0.011266469955444336,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1577,PageRank,0.01078176498413086,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1663,PageRank,0.01141500473022461,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1543,PageRank,0.010985851287841797,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1707,PageRank,0.012982606887817383,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1670,PageRank,0.011491775512695312,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1762,PageRank,0.010785341262817383,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1705,PageRank,0.010871410369873047,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1606,PageRank,0.010822296142578125,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1674,PageRank,0.010743856430053711,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1878,PageRank,0.010720968246459961,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1711,PageRank,0.011121988296508789,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1700,PageRank,0.011730432510375977,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1674,Eigenvector,0.01126551628112793,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
